instruction,input,output
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pouvez-vous m'aider à comprendre la loi d'Ampère ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai des difficultés avec la distribution de charge électrique pouvez-vous me donner des conseils ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Je ne sais pas comment résoudre les problèmes de distribution de charge en électromagnétisme.,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pouvez-vous me donner des conseils sur la loi d'Ampère en électromagnétisme ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai besoin d'aide pour comprendre la distribution de charge électrique en électromagnétisme.,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pourriez-vous m'aider à comprendre le concept d'Ampère en Electromag ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai des difficultés avec la distribution de charge en Electromag pouvez-vous m'aider ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Je ne sais pas comment résoudre les problèmes d'Ampère en Electromag pouvez-vous me donner des conseils ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pouvez-vous m'aider à améliorer ma compréhension de la distribution de charge en Electromag ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Avez-vous des conseils pour mieux comprendre le concept d'Ampère en Electromag ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pourriez-vous m'aider à comprendre le concept d'Ampère ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai du mal à comprendre la distribution de charge électrique pouvez-vous m'aider ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Je ne sais pas comment résoudre les problèmes d'Ampère pouvez-vous me donner des conseils ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pouvez-vous m'aider à améliorer ma compréhension de la distribution de charge électrique ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai des problèmes avec les concepts d'Ampère pouvez-vous me donner des conseils ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai besoin d'aide en Electromag,{"subject": "Electromag"; "topic": "General"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pouvez-vous m'aider à comprendre le concept d'Ampère en Electromag ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Je suis bloqué sur la distribution de charge en Electromag pouvez-vous m'aider ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Avez-vous des conseils pour résoudre des problèmes en Electromag ?,{"subject": "Electromag"; "topic": "General"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pourriez-vous me donner des conseils sur le concept de l'Ampère en Electromag ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pourriez-vous m'aider à comprendre la loi d'Ampère ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai des difficultés avec la distribution de charge électrique pouvez-vous m'aider ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Je ne sais pas comment appliquer la loi d'Ampère dans un circuit magnétique pouvez-vous me donner des conseils ?,{"subject": "Electromag"; "topic": "Ampere"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,Pouvez-vous me donner des conseils sur la distribution de charge électrique dans un conducteur ?,{"subject": "Electromag"; "topic": "loadDistribution"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources répond au mieux en format JSON.,J'ai du mal à comprendre comment calculer la distribution de charge électrique dans un matériau pouvez-vous m'aider ?,{"subject": "Electromag"; "topic": "loadDistribution"}
