instruction;input;output;prediction
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction composée ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction composée ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce que les nombres complexes ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce que les nombres complexes ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction polynomiale ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction polynomiale ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce que les différentielles en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Qu'est-ce que les différentielles en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction exponentielle ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer la dérivée d'une fonction exponentielle ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas comment résoudre une équation quadratique.;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Je ne comprends pas comment résoudre une équation quadratique. ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée d'une fonction trigonométrique ?;"{""subject"": ""maths"", ""topic"": ""derivatives""}";"""Comment calculer une dérivée d'une fonction trigonométrique ? ->: {""subject"": ""maths"", ""topic"": ""derivatives""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une différentielle et comment l'utiliser en mathématiques ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Qu'est-ce qu'une différentielle et comment l'utiliser en mathématiques ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation linéaire avec des matrices ?;"{""subject"": ""maths"", ""topic"": ""matrices""}";"""Comment résoudre une équation linéaire avec des matrices ? ->: {""subject"": ""maths"", ""topic"": ""matrices""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe et comment effectuer des opérations avec eux ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe et comment effectuer des opérations avec eux ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;"{""subject"": ""maths"", ""topic"": ""complex-numbers""}";"""Qu'est-ce qu'un nombre complexe ? ->: {""subject"": ""maths"", ""topic"": ""complex-numbers""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;"{""subject"": ""maths"", ""topic"": ""differentials""}";"""Comment résoudre une équation différentielle ? ->: {""subject"": ""maths"", ""topic"": ""differentials""}"""
