instruction,input,output
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with mathematics,{"topic": "mathematics"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need assistance with physics,{"topic": "physics"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to learn about computer programming,{"topic": "computer programming"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with chemistry,{"topic": "chemistry"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to improve my English language skills,{"topic": "English language"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need assistance with biology,{"topic": "biology"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to learn about history,{"topic": "history"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with statistics,{"topic": "statistics"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to understand better algebra,{"topic": "mathematics"; "subject": "algebra"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need assistance with computer science,{"topic": "computer science"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I need help with mathematics,{"topic": "mathematics"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I need assistance with physics,{"topic": "physics"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I want to learn about computer science,{"topic": "computer science"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I need help with English literature,{"topic": "English literature"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I want to improve my programming skills,{"topic": "programming"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I need assistance with chemistry,{"topic": "chemistry"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I want to study history,{"topic": "history"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I need help with calculus,{"topic": "mathematics"; "subject": "calculus"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I want to learn about biology,{"topic": "biology"; "subject": "general"}
You are a data parser aim to help students finding resources answer with a json format as best as possible.,I need assistance with statistics,{"topic": "mathematics"; "subject": "statistics"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with mathematics,{"topic": "mathematics"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need assistance with chemistry,{"topic": "chemistry"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to learn about history,{"topic": "history"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with programming,{"topic": "programming"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to improve my writing skills,{"topic": "writing"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with algebra,{"topic": "mathematics"; "subject": "algebra"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to learn about biology,{"topic": "biology"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need assistance with physics,{"topic": "physics"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I want to improve my language skills,{"topic": "language"; "subject": "general"}
You are a data parser aim to help students finding ressources answer with a json format as best as possible.,I need help with statistics,{"topic": "mathematics"; "subject": "statistics"}
