instruction;input;output;prediction
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un oscillateur harmonique ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Qu'est-ce qu'un oscillateur harmonique ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment fonctionnent les coordonnées cartésiennes ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Comment fonctionnent les coordonnées cartésiennes ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quels sont les principes de la mécanique des oscillateurs harmoniques ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Quels sont les principes de la mécanique des oscillateurs harmoniques ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment convertir des coordonnées polaires en coordonnées cartésiennes ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Comment convertir des coordonnées polaires en coordonnées cartésiennes ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les formules pour calculer la période d'un oscillateur harmonique ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Quelles sont les formules pour calculer la période d'un oscillateur harmonique ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la période d'un oscillateur harmonique ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Comment calculer la période d'un oscillateur harmonique ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les formules pour calculer les coordonnées polaires d'un point ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Quelles sont les formules pour calculer les coordonnées polaires d'un point ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment déterminer l'amplitude d'un oscillateur harmonique ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Comment déterminer l'amplitude d'un oscillateur harmonique ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les équations de transformation entre les coordonnées cartésiennes et les coordonnées polaires ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Quelles sont les équations de transformation entre les coordonnées cartésiennes et les coordonnées polaires ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la vitesse angulaire d'un oscillateur harmonique ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Comment calculer la vitesse angulaire d'un oscillateur harmonique ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment on calcule la période d'un oscillateur harmonique ?;"{""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}";"""Comment on calcule la période d'un oscillateur harmonique ? ->: {""subject"": ""physics"", ""topic"": ""harmonic-oscillators""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce que les coordonnées polaires ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Qu'est-ce que les coordonnées polaires ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment convertir des coordonnées cartésiennes en coordonnées sphériques ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Comment convertir des coordonnées cartésiennes en coordonnées sphériques ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Quelles sont les formules pour calculer les coordonnées cylindriques ?;"{""subject"": ""physics"", ""topic"": ""coordinates""}";"""Quelles sont les formules pour calculer les coordonnées cylindriques ? ->: {""subject"": ""physics"", ""topic"": ""coordinates""}"""
