instruction;input;output;text
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction polynomiale ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;{"subject": "maths", "topic": "complex-numbers"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;{"subject": "maths", "topic": "differentials"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une fonction dérivable ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer la dérivée d'une fonction trigonométrique ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas comment calculer les dérivées des fonctions trigonométriques.;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre les équations différentielles linéaires du premier ordre ?;{"subject": "maths", "topic": "differentials"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je suis perdu avec les nombres complexes, comment les représenter graphiquement ?;{"subject": "maths", "topic": "complex-numbers"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer les limites des fonctions trigonométriques ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Je ne comprends pas comment simplifier les expressions avec des nombres complexes.;{"subject": "maths", "topic": "complex-numbers"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, j'ai du mal à comprendre les nombres complexes. Est-ce que tu peux m'expliquer comment les utiliser dans les équations ?;{"subject": "maths", "topic": "complex-numbers"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Bonjour, je ne comprends pas comment dériver une fonction. Peux-tu m'expliquer la méthode pour trouver la dérivée d'une fonction ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, j'ai besoin d'aide avec les différentielles. Comment les utiliser pour résoudre des problèmes de calcul ?;{"subject": "maths", "topic": "differentials"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Salut, j'ai du mal à comprendre comment utiliser les nombres complexes dans les équations différentielles. Peux-tu m'expliquer comment les appliquer dans ce contexte ?;{"subject": "maths", "topic": "complex-numbers"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Bonjour, je suis perdu avec les dérivées partielles. Comment les calculer et à quoi servent-elles ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment calculer une dérivée d'une fonction polynomiale ?;{"subject": "maths", "topic": "derivatives"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'un nombre complexe ?;{"subject": "maths", "topic": "complex-numbers"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment résoudre une équation différentielle ?;{"subject": "maths", "topic": "differentials"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Qu'est-ce qu'une matrice ?;{"subject": "maths", "topic": "matrices"}
Tu es un analyseur de données chargé d'aider les étudiants à trouver des ressources, répond au mieux en format JSON.;Comment simplifier une fraction avec des dérivées ?;{"subject": "maths", "topic": "derivatives"}
